,filename,column,avr,var,std,skew,kern,logviola,rollingvarmax,DFA,rollingvarmean,violmax,violmean,maxpeaksqt,Unnamed: 14,L
251,5801.csv,millinletTemp,850.9575981547925,2.702736548553377,1.6440001668349602,0.1443208200381343,0.2561070673969077,0.0178858546509976,6.759806979938955,0.9654980368293494,2.581851603405537,6.168451813355684,1.3709957905528471,2.59684022520134,,a
252,5802.csv,millinletTemp,850.7775573435505,3.248305332109445,1.8023055601394136,0.1837621425143858,0.5498602846647906,0.0196444906710266,6.759806979930061,0.9490964200723104,2.962267147353925,6.322123519783569,1.4540387972600193,1.687674880122657,,a
253,5803.csv,millinletTemp,850.8422080761317,2.702710493611111,1.6439922425641524,0.3751045153264664,0.1636958026240855,0.0178524481450891,5.139479296545809,0.9956338755761428,2.5218857697858263,5.643540068894871,1.3662664025276998,1.5156212526009638,,a
254,5804.csv,millinletTemp,850.431453772856,2.911072683784705,1.70618659113964,0.4401835574489279,0.6023670510341552,0.0185247359517717,5.993922792643112,0.9281379665196462,2.7018599763322406,6.3739931410567765,1.3929747651654232,1.6219436908643303,,a
255,5805.csv,millinletTemp,849.6834171369933,2.897499864443226,1.7022044132369138,0.2161958630163366,0.6091245575064805,0.0185400556658387,5.7991069130488695,1.0056850678396,2.4437573866070217,5.840771553550795,1.386551773930008,1.8251653525581857,,a
256,5806.csv,millinletTemp,849.836208974359,3.099852860396489,1.760639900830516,0.0868371100246609,-0.0023843202570299,0.0191798960024043,6.4181673576023135,1.0739070990730109,2.455106289352828,5.891452143777387,1.482988896180457,1.4522810342229755,,a
257,5807.csv,millinletTemp,849.4503053984577,4.976713496833794,2.2308548802720884,-1.0355853322230313,4.04038909374049,0.0243193456291283,11.882752066136504,1.1102149691451646,3.5510747049608717,11.665859137504484,1.688019245843284,5.359656872752335,,b
258,5808.csv,millinletTemp,849.7485786228161,2.372792834988801,1.5403872354018002,0.3452398351569494,0.1371114555487635,0.0167615358310808,4.445730244143256,0.9391070020484532,2.1664874666820544,4.418808551920272,1.266870901883231,1.2598889623765002,,a
259,5809.csv,millinletTemp,850.1413271854473,2.2117150854927634,1.487183608534186,0.2599968415414722,0.2002574086644206,0.0163119764825755,4.002498886291666,0.9101408546954188,2.0241303258437298,5.1017519768245005,1.2358023258235131,1.3666087110254803,,a
260,5810.csv,millinletTemp,850.2359051679585,2.660828325199444,1.63120456264671,0.1373585041851046,0.2067003154372972,0.017691085169026,4.878497752515714,0.9659577480685612,2.318405861382559,5.19941741502039,1.3470371439451212,1.48404244551618,,a
261,5811.csv,millinletTemp,850.4067083333333,3.2216001414164275,1.794881651089126,0.4379903683714871,0.5467590191919878,0.0194402553375147,6.537681383501043,0.9917672045680134,2.896370956160641,6.647846190952177,1.470079892967986,1.5422468839842824,,a
262,5812.csv,millinletTemp,850.8043995363215,2.980406660479044,1.726385432190345,0.1919935917333198,0.1418701786685536,0.0187368082106452,5.030767875138444,0.927748258097583,2.6273330640568213,5.525915315523224,1.4382864908890118,1.6833738660329096,,a
263,5813.csv,millinletTemp,849.9745638924455,3.974596452947953,1.9936389976492617,0.1588884801465019,0.0103486123555955,0.021725916516834,4.720102715705588,0.9555365262995642,2.7982797578149783,6.381576155838582,1.6703184185570057,1.990406236213484,,a
264,5814.csv,millinletTemp,849.5134123526396,3.2002361541975404,1.7889203878869346,0.0353410763725645,-0.1056549961985173,0.0195025051741791,4.720102715715968,0.988550322787169,2.782630938098774,5.282557843582294,1.5096711043669435,1.4959032525107243,,a
265,5815.csv,millinletTemp,850.0495375321337,3.573422745441074,1.890349900267428,0.2284992685044787,-0.3024730340514501,0.0205572031981998,5.070214207356679,1.039110687960775,3.0748442793623787,5.582315754256022,1.6050479615383535,1.6296100520555807,,a
266,5816.csv,millinletTemp,849.9555016653857,3.0501451941925253,1.7464664881389866,0.270544173336615,-0.1390248031581684,0.0190261588416819,5.837958889632728,0.9960287826567452,2.935850509283389,5.468553304490291,1.4661020378481238,1.471780107817254,,a
267,5817.csv,millinletTemp,849.4466790853032,3.1940776129986106,1.7871982578881982,-0.0434010541312557,-0.1518206667359982,0.019462114317239,5.978265049043259,0.916525189151208,2.853555604190541,4.738682581495735,1.5191419243186752,1.7947902340304265,,a
268,5818.csv,millinletTemp,848.4879525641024,3.9764665432737583,1.9941079567750983,-0.2174851236021162,0.7998332678050875,0.0217704688805424,8.41778727312544,1.0734603221336896,3.354524012694054,8.361540328068667,1.667660950759668,1.6653546938386266,,a
269,5819.csv,millinletTemp,848.7894169439468,3.123306186840325,1.767287805322134,0.023235617723431,-0.2353726151693043,0.0192981384072934,4.560244955403675,0.9904769046187084,2.7881630971774034,4.840574434780563,1.4889286783861255,1.6037766596706484,,a
270,5820.csv,millinletTemp,849.1534071794871,2.95053124170274,1.7177110472086798,-0.0844440360031383,0.0243190960048687,0.0187328004310536,5.093763358946243,0.9392845046005796,2.6133465783896765,5.026989930438517,1.4215127033113948,1.4903939222408258,,a
271,5821.csv,millinletTemp,849.646866066838,2.699553031427309,1.643031658680778,0.1979850379712389,-0.3210133265926873,0.0178784812912974,4.639364879422632,0.9028328520585206,2.345086232119312,4.853020200125493,1.3980565217824934,1.3613148622154518,,a
272,5822.csv,millinletTemp,849.8938804934463,3.3272829006245392,1.824084126520633,-0.1010225543347745,-0.2425035218589379,0.0198504859032971,4.997747470453042,0.8817981840228243,2.6193044247671966,5.036766564043715,1.543788059813519,3.2473420327729325,,a
273,5823.csv,millinletTemp,849.4578086531033,3.616157959512951,1.901619825178774,0.0348626818667742,-0.5391006794700743,0.0206821121817469,4.99774747045718,0.8964034613833194,3.084292737337075,5.57947622065166,1.640713349040869,2.172232944985668,,a
274,5824.csv,millinletTemp,849.9727970118496,3.64132755940358,1.9082262862154424,-0.1346504492060719,0.0109566767431075,0.0207408254593876,5.56198943743404,1.074890137721617,2.896086759159469,6.283576450364433,1.582230908633411,1.669957936055365,,a
275,5825.csv,millinletTemp,851.1435862957239,2.6961882359162312,1.6420073799822676,0.0255326958902709,-0.1006048201061657,0.0178158964877015,5.561989437413478,1.0176816502123889,2.4312731261343457,5.310410712118086,1.3813369152366723,1.608271152362817,,a
276,5826.csv,millinletTemp,850.709622622108,3.108277172540313,1.7630306782754273,-0.0155208680421935,-0.1593306886085415,0.019160716409337,4.472734212916512,0.9532659834139914,2.672883841855011,5.379109320673497,1.4972832071295954,2.0215116255507417,,a
277,5827.csv,millinletTemp,850.4311512734756,3.121122749627177,1.7666699605832372,0.1501090200283906,0.0723447429337298,0.0191967867125523,5.041419848382503,0.953541987509104,2.7304365783529434,5.702825582175315,1.4814236246378727,1.5348076160984343,,a
278,5828.csv,millinletTemp,850.5435815384615,2.9720416822443605,1.7239610442943194,0.1367300847251576,-0.0355327229839685,0.0187614758992103,6.061143183951374,0.9264843139816368,2.439180022176645,5.138012296140009,1.443852418300213,1.6083915153606223,,a
279,5829.csv,millinletTemp,850.8713433641975,3.049634704041359,1.7463203325969034,0.392189327252021,0.216853356498242,0.0189621584658879,5.645141762528375,0.9143897584893526,2.672434454732721,5.579955139211101,1.4379350907685289,1.5563386611666477,,a
280,5830.csv,millinletTemp,851.2959359567901,3.280231678171658,1.8111409879332028,0.1951080701582897,-0.1439370491496694,0.0196585691958368,5.645141762544284,0.8842167309376708,2.9826747735759795,5.329786858043772,1.5196308469335558,1.366801752931251,,a
281,5831.csv,millinletTemp,851.9043477033615,3.206646096987149,1.7907110590453026,-0.1867477432471056,-0.2405006543033692,0.0194511906681513,5.837356342970192,0.9142651372390208,2.991271746054503,4.749888352638069,1.5176518305870652,1.772531536773006,,a
282,5832.csv,millinletTemp,851.7596713411524,3.5133734637487257,1.87439949417106,-0.0831689705986215,-0.0431233812004099,0.0204273040576065,5.837356342965526,0.9499362228999104,2.950465509998312,5.253461742655301,1.5579755244659952,1.611641144715366,,a
283,5833.csv,millinletTemp,850.9701575570951,2.847355339645776,1.6874108390210651,0.1014307907389982,-0.3127020578339583,0.0183467624643794,4.215340005571462,0.987795242000396,2.3828241274060744,4.496108373578838,1.4388604334660728,1.414032041137376,,a
284,5834.csv,millinletTemp,850.771762942081,2.4220039173856494,1.556278868771805,0.3902409564400581,-0.0215372192402942,0.0169320384598687,4.027064209589383,0.9366409635820184,2.2129051414527496,5.805973846136668,1.3179756249582846,1.45187472132047,,a
